"Year","Tm","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PTS"
1966,"BAL",3599,8210,NA,NA,3599,8210,2267,3186,NA,NA,1890,NA,NA,NA,9465
1966,"BOS",3488,8367,NA,NA,3488,8367,2038,2758,NA,NA,1795,NA,NA,NA,9014
1966,"CIN",3610,8123,NA,NA,3610,8123,2204,2906,NA,NA,1818,NA,NA,NA,9424
1966,"DET",3475,8502,NA,NA,3475,8502,1877,2734,NA,NA,1569,NA,NA,NA,8827
1966,"LAL",3597,8109,NA,NA,3597,8109,2363,3057,NA,NA,1936,NA,NA,NA,9557
1966,"NYK",3559,7910,NA,NA,3559,7910,2217,3078,NA,NA,1896,NA,NA,NA,9335
1966,"PHI",3650,8189,NA,NA,3650,8189,2087,3141,NA,NA,1905,NA,NA,NA,9387
1966,"SFW",3557,8512,NA,NA,3557,8512,2129,2879,NA,NA,1872,NA,NA,NA,9243
1966,"STL",3379,7836,NA,NA,3379,7836,2155,2870,NA,NA,1782,NA,NA,NA,8913
1966,"TOT",3188,7108,NA,NA,3188,7108,1842,2829,NA,NA,1444,NA,NA,NA,8218
1967,"BAL",3664,8578,NA,NA,3664,8578,2025,2771,NA,NA,1652,NA,NA,NA,9353
1967,"BOS",3724,8325,NA,NA,3724,8325,2216,2963,NA,NA,1962,NA,NA,NA,9664
1967,"CHI",3565,8505,NA,NA,3565,8505,2037,2784,NA,NA,1827,NA,NA,NA,9167
1967,"CIN",3654,8137,NA,NA,3654,8137,2179,2806,NA,NA,1858,NA,NA,NA,9487
1967,"DET",3523,8542,NA,NA,3523,8542,1969,2725,NA,NA,1465,NA,NA,NA,9015
1967,"LAL",3786,8466,NA,NA,3786,8466,2192,2917,NA,NA,1906,NA,NA,NA,9764
1967,"NYK",3637,8025,NA,NA,3637,8025,2151,2980,NA,NA,1782,NA,NA,NA,9425
1967,"PHI",3912,8103,NA,NA,3912,8103,2319,3411,NA,NA,2138,NA,NA,NA,10143
1967,"SFW",3814,8818,NA,NA,3814,8818,2283,3021,NA,NA,1876,NA,NA,NA,9911
1967,"STL",3547,8004,NA,NA,3547,8004,2110,2979,NA,NA,1708,NA,NA,NA,9204
1967,"TOT",1047,2677,NA,NA,1047,2677,589,837,NA,NA,324,NA,NA,NA,2683
1968,"BAL",3691,8428,NA,NA,3691,8428,2245,2994,NA,NA,1534,NA,NA,NA,9627
1968,"BOS",3686,8371,NA,NA,3686,8371,2151,2983,NA,NA,1798,NA,NA,NA,9523
1968,"CHI",3488,8138,NA,NA,3488,8138,2006,2718,NA,NA,1527,NA,NA,NA,8982
1968,"CIN",3679,7864,NA,NA,3679,7864,2204,2892,NA,NA,2048,NA,NA,NA,9562
1968,"DET",3755,8386,NA,NA,3755,8386,2215,3129,NA,NA,1700,NA,NA,NA,9725
1968,"LAL",3827,8031,NA,NA,3827,8031,2283,3143,NA,NA,1983,NA,NA,NA,9937
1968,"NYK",3682,8070,NA,NA,3682,8070,2159,3042,NA,NA,1967,NA,NA,NA,9523
1968,"PHI",3965,8414,NA,NA,3965,8414,2121,3338,NA,NA,2197,NA,NA,NA,10051
1968,"SDR",3566,8547,NA,NA,3566,8547,2083,2929,NA,NA,1837,NA,NA,NA,9215
1968,"SEA",3772,8593,NA,NA,3772,8593,2188,3042,NA,NA,1998,NA,NA,NA,9732
1968,"SFW",3632,8587,NA,NA,3632,8587,2334,3153,NA,NA,1901,NA,NA,NA,9598
1968,"STL",3504,7765,NA,NA,3504,7765,2258,3111,NA,NA,1988,NA,NA,NA,9266
1968,"TOT",3371,7556,NA,NA,3371,7556,2107,3071,NA,NA,1681,NA,NA,NA,8849
1969,"ATL",3605,7844,NA,NA,3605,7844,1913,2785,NA,NA,2069,NA,NA,NA,9123
1969,"BAL",3770,8567,NA,NA,3770,8567,2002,2734,NA,NA,1682,NA,NA,NA,9542
1969,"BOS",3583,8316,NA,NA,3583,8316,1936,2657,NA,NA,1953,NA,NA,NA,9102
1969,"CHI",3355,8021,NA,NA,3355,8021,1877,2577,NA,NA,1597,NA,NA,NA,8587
1969,"CIN",3565,7742,NA,NA,3565,7742,2262,3012,NA,NA,1983,NA,NA,NA,9392
1969,"DET",3609,7997,NA,NA,3609,7997,2141,3025,NA,NA,1757,NA,NA,NA,9359
1969,"LAL",3574,7620,NA,NA,3574,7620,2056,3161,NA,NA,2068,NA,NA,NA,9204
1969,"MIL",3537,8258,NA,NA,3537,8258,1966,2638,NA,NA,1882,NA,NA,NA,9040
1969,"NYK",3588,7813,NA,NA,3588,7813,1911,2596,NA,NA,2071,NA,NA,NA,9087
1969,"PHI",3754,8274,NA,NA,3754,8274,2238,3087,NA,NA,1914,NA,NA,NA,9746
1969,"PHO",3541,8242,NA,NA,3541,8242,2080,2950,NA,NA,1918,NA,NA,NA,9162
1969,"SDR",3691,8631,NA,NA,3691,8631,2074,3039,NA,NA,1925,NA,NA,NA,9456
1969,"SEA",3543,8149,NA,NA,3543,8149,2105,2979,NA,NA,1927,NA,NA,NA,9191
1969,"SFW",3414,8218,NA,NA,3414,8218,2119,2949,NA,NA,1822,NA,NA,NA,8947
1969,"TOT",5324,12325,NA,NA,5324,12325,3127,4370,NA,NA,2540,NA,NA,NA,13775
1970,"ATL",3817,7907,NA,NA,3817,7907,2012,2669,NA,NA,2142,NA,NA,NA,9646
1970,"BAL",3925,8567,NA,NA,3925,8567,2050,2652,NA,NA,1881,NA,NA,NA,9900
1970,"BOS",3645,8235,NA,NA,3645,8235,2132,2711,NA,NA,1875,NA,NA,NA,9422
1970,"CHI",3607,8133,NA,NA,3607,8133,2209,2861,NA,NA,2133,NA,NA,NA,9423
1970,"CIN",3767,8271,NA,NA,3767,8271,2082,2841,NA,NA,1992,NA,NA,NA,9616
1970,"DET",3565,7657,NA,NA,3565,7657,2116,2881,NA,NA,1709,NA,NA,NA,9246
1970,"LAL",3668,7952,NA,NA,3668,7952,1991,2641,NA,NA,2030,NA,NA,NA,9327
1970,"MIL",3923,8041,NA,NA,3923,8041,1895,2589,NA,NA,2168,NA,NA,NA,9741
1970,"NYK",3803,7975,NA,NA,3803,7975,1821,2484,NA,NA,2135,NA,NA,NA,9427
1970,"PHI",3915,8345,NA,NA,3915,8345,2168,2884,NA,NA,2127,NA,NA,NA,9998
1970,"PHO",3676,7856,NA,NA,3676,7856,2434,3270,NA,NA,2076,NA,NA,NA,9786
1970,"SDR",3866,8867,NA,NA,3866,8867,2000,2728,NA,NA,2036,NA,NA,NA,9732
1970,"SEA",3709,8029,NA,NA,3709,8029,2171,2851,NA,NA,2214,NA,NA,NA,9589
1970,"SFW",3555,8224,NA,NA,3555,8224,2004,2646,NA,NA,1861,NA,NA,NA,9114
